dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;xD;yD;zD;prF;depPrF;concessionPrF;absF;cumulF;xF;yF;zF;cote;anneeMesureTrafic;typeComptageTrafic;typeComptageTrafic_lib;TMJA;ratio_PL
01/01/2024;A0004;9606;408;67;C;200;408306;1001897,95;6876301,66;0;417;67;C;806;417912;1003853;6867371,39;0;I;2024;1;Permanent horaire;22117;16,294
01/01/2024;A0004;10394;417;67;C;806;417912;1003853;6867371,39;0;428;57;C;200;428306;1011642,36;6861189,19;0;I;2024;1;Permanent horaire;22117;16,294
01/01/2024;A0004;4728;428;57;C;200;428306;1011642,36;6861189,19;0;432;57;C;928;433034;1016315,46;6860892,35;0;I;2024;1;Permanent horaire;32071;20,893
01/01/2024;A0004;6472;432;57;C;928;433034;1016315,46;6860892,35;0;439;67;C;400;439506;1021859,53;6861045,55;0;I;2024;1;Permanent horaire;32071;20,893
01/01/2024;A0004;16600;439;67;C;400;439506;1021859,53;6861045,55;0;456;67;C;0;456106;1037986,73;6862000,87;0;I;2024;1;Permanent horaire;29342;21,273
01/01/2024;A0004;6950;456;67;C;0;456106;1037986,73;6862000,87;0;462;67;C;950;463056;1044185,61;6860033,67;0;I;2024;1;Permanent horaire;33502;19,513
01/01/2024;A0004;5350;462;67;C;950;463056;1044185,61;6860033,67;0;468;67;C;300;468406;1046400,71;6855301,39;0;I;2024;1;Permanent horaire;67586;16,512
01/01/2024;A0004;4130;468;67;C;300;468406;1046400,71;6855301,39;0;472;67;C;400;472536;1048515;6851879,81;0;I;2024;1;Permanent horaire;66198;13,624
01/01/2024;A0004;2300;472;67;C;400;472536;1048515;6851879,81;0;474;67;C;700;474836;1048610,95;6849594,05;0;I;2024;1;Permanent horaire;53419;8,021
01/01/2024;A0005;6732;0;77;C;0;0;673326,69;6832720,47;0;6;77;C;732;6732;679849,47;6831699,36;0;I;2022;1;Permanent horaire;21566;14,895
01/01/2024;A0005;7259;6;77;C;732;6732;679849,47;6831699,36;0;13;77;C;991;13991;684897,32;6826584,1;0;I;2022;1;Permanent horaire;23468;13,597
01/01/2024;A0005;17477;13;77;C;991;13991;684897,32;6826584,1;0;31;77;C;468;31468;695807,66;6813080,56;0;I;2022;1;Permanent horaire;22501;14,387
01/01/2024;A0005;7525;31;77;C;468;31468;695807,66;6813080,56;0;38;77;C;993;38993;701588,77;6808462,76;0;I;2022;1;Permanent horaire;19859;15,444
01/01/2024;A0005;8332;38;77;C;993;38993;701588,77;6808462,76;0;47;77;C;325;47325;709828,66;6807722,12;0;I;2022;1;Permanent horaire;17079;15,587
01/01/2024;A0005;1043;47;77;C;325;47325;709828,66;6807722,12;0;48;89;C;368;48368;710816,35;6807310,14;0;I;2022;1;Permanent horaire;17079;15,587
01/01/2024;A0005;57;48;89;C;368;48368;710816,35;6807310,14;0;48;89;C;425;48425;710851,89;6807293,25;0;I;2022;1;Permanent horaire;17079;15,587
01/01/2024;A0005;15514;48;89;C;425;48425;710851,89;6807293,25;0;63;89;C;939;63939;721729,43;6796579,09;0;I;2022;1;Permanent horaire;17079;15,587
01/01/2024;A0005;24137;63;89;C;939;63939;721729,43;6796579,09;0;88;89;C;76;88076;744434,89;6793544,49;0;I;2022;1;Permanent horaire;14960;16,417
01/01/2024;A0005;363;88;89;C;76;88076;744434,89;6793544,49;0;88;89;C;439;88439;744803,97;6793595,49;0;I;2022;1;Permanent horaire;14491;16,398
01/01/2024;A0005;26676;88;89;C;439;88439;744803,97;6793595,49;0;115;10;C;115;115115;770170,44;6797225,67;0;I;2022;1;Permanent horaire;14491;16,398
01/01/2024;A0005;16087;115;10;C;115;115115;770170,44;6797225,67;0;131;10;C;202;131202;783824,62;6791799,07;0;I;2022;1;Permanent horaire;9922;16,018
01/01/2024;A0005;4098;131;10;C;202;131202;783824,62;6791799,07;0;135;10;C;300;135300;787626,2;6792750;0;I;2022;1;Permanent horaire;11753;16,239
01/01/2024;A0005;22129;135;10;C;300;135300;787626,2;6792750;0;157;10;C;429;157429;807259,12;6787210,55;0;I;2022;1;Permanent horaire;21650;17,422
01/01/2024;A0005;23620;157;10;C;429;157429;807259,12;6787210,55;0;181;10;C;49;181049;828758,21;6781139,67;0;I;2022;1;Permanent horaire;21188;17,698
01/01/2024;A0005;1106;181;10;C;49;181049;828758,21;6781139,67;0;182;52;C;155;182155;829809,04;6780839,99;0;I;2022;1;Permanent horaire;21188;17,698
01/01/2024;A0005;2940;182;52;C;155;182155;829809,04;6780839,99;0;185;10;C;95;185095;832763,39;6780586,31;0;I;2022;1;Permanent horaire;21188;17,698
01/01/2024;A0005;930;185;10;C;95;185095;832763,39;6780586,31;0;186;10;C;25;186025;833511,52;6780020,02;0;I;2022;1;Permanent horaire;21310;17,94
01/01/2024;A0005;22242;186;10;C;25;186025;833511,52;6780020,02;0;208;52;C;267;208267;853553,2;6773042,6;0;I;2022;1;Permanent horaire;21310;17,94
01/01/2024;A0005;19833;208;52;C;267;208267;853553,2;6773042,6;0;228;52;C;100;228100;866053,82;6758632,41;0;I;2022;1;Permanent horaire;23640;24,809
01/01/2024;A0005A;364;0;91;C;0;0;665756,59;6837277,51;0;0;91;C;364;364;665800,31;6836906,02;0;I;2022;1;Permanent horaire;57762;9,581
01/01/2024;A0005A;1488;0;91;C;364;364;665800,31;6836906,02;0;1;77;C;850;1852;666654,61;6835723,24;0;I;2022;1;Permanent horaire;57762;9,581
01/01/2024;A0005A;613;1;77;C;850;1852;666654,61;6835723,24;0;2;77;C;455;2465;667179,19;6835407,4;0;I;2022;1;Permanent horaire;57762;9,581
01/01/2024;A0005A;626;2;77;C;455;2465;667179,19;6835407,4;0;3;77;C;80;3091;667716;6835084,97;0;I;2022;1;Permanent horaire;61931;5,802
01/01/2024;A0005A;1620;3;77;C;80;3091;667716;6835084,97;0;4;77;C;700;4711;669105,67;6834254,11;0;I;2022;1;Permanent horaire;61931;5,802
01/01/2024;A0005A;2062;4;77;C;700;4711;669105,67;6834254,11;0;6;77;C;760;6773;670910,78;6833280,36;0;I;2022;1;Permanent horaire;41657;7,931
01/01/2024;A0005A;2603;6;77;C;760;6773;670910,78;6833280,36;0;9;77;C;360;9376;673326,69;6832720,47;0;I;2022;1;Permanent horaire;41657;7,931
01/01/2024;A0006;702;26;91;N;990;18566;657949,93;6835149,18;0;27;91;C;700;19268;658224,01;6834501,63;0;I;2022;1;Permanent horaire;86647;14,238
01/01/2024;A0006;1798;27;91;C;700;19268;658224,01;6834501,63;0;29;91;C;500;21066;658925,11;6832846,62;0;I;2022;1;Permanent horaire;86631;14,243
01/01/2024;A0006;3487;29;91;C;500;21066;658925,11;6832846,62;0;32;91;C;987;24553;660932,74;6830046,9;0;I;2022;1;Permanent horaire;86809;14,22
01/01/2024;A0006;962;32;91;C;987;24553;660932,74;6830046,9;0;33;91;C;944;25515;661580,1;6829338,39;0;I;2022;1;Permanent horaire;82352;11,829
01/01/2024;A0006;545;33;91;C;944;25515;661580,1;6829338,39;0;34;91;C;488;26060;662023,98;6829018,28;0;I;2022;1;Permanent horaire;82352;11,829
01/01/2024;A0006;3882;34;91;C;488;26060;662023,98;6829018,28;0;38;91;C;385;29942;663230,93;6825412,7;0;I;2022;1;Permanent horaire;66780;16,727
01/01/2024;A0006;5419;38;91;C;385;29942;663230,93;6825412,7;0;43;77;C;813;35361;664110,97;6820130,47;0;I;2022;1;Permanent horaire;66780;16,727
01/01/2024;A0006;657;43;77;C;813;35361;664110,97;6820130,47;0;44;77;C;440;36018;664265,28;6819501,52;0;I;2022;1;Permanent horaire;48889;14,623
01/01/2024;A0006;2043;44;77;C;440;36018;664265,28;6819501,52;0;46;77;C;483;38061;664547,43;6817525,85;0;I;2022;1;Permanent horaire;48889;14,623
01/01/2024;A0006;14517;46;77;C;483;38061;664547,43;6817525,85;0;61;77;C;0;52578;669799,96;6804361,11;0;I;2022;1;Permanent horaire;41784;12,903
01/01/2024;A0006;8690;61;77;C;0;52578;669799,96;6804361,11;0;69;77;C;690;61268;676329,91;6798995,18;0;I;2022;1;Permanent horaire;39600;12,964
01/01/2024;A0006;3129;69;77;C;690;61268;676329,91;6798995,18;0;72;77;C;819;64397;678708,03;6797018,15;0;I;2022;1;Permanent horaire;44325;14,088
01/01/2024;A0006;7855;72;77;C;819;64397;678708,03;6797018,15;0;80;77;C;674;72252;683289,33;6790672,96;0;I;2022;1;Permanent horaire;41206;14,525
01/01/2024;A0006;10368;80;77;C;674;72252;683289,33;6790672,96;0;91;77;C;42;82620;691541,88;6784209,91;0;I;2022;1;Permanent horaire;24654;13,841
01/01/2024;A0006;15173;91;77;C;42;82620;691541,88;6784209,91;0;106;45;C;215;97793;703630,24;6775827,96;0;I;2022;1;Permanent horaire;24654;13,841
01/01/2024;A0006;3872;106;45;C;215;97793;703630,24;6775827,96;0;110;89;C;87;101665;706617,23;6773414,43;0;I;2022;1;Permanent horaire;24654;13,841
01/01/2024;A0006;1013;110;89;C;87;101665;706617,23;6773414,43;0;111;89;C;100;102678;707355,2;6772723,95;0;I;2022;1;Permanent horaire;24703;14,627
01/01/2024;A0006;17000;111;89;C;100;102678;707355,2;6772723,95;0;128;89;C;100;119678;718213,7;6759824,03;0;I;2022;1;Permanent horaire;34881;16,529
01/01/2024;A0006;25560;128;89;C;100;119678;718213,7;6759824,03;0;153;89;C;660;145238;741016,69;6750689,49;0;I;2022;1;Permanent horaire;33177;16,95
01/01/2024;A0006;11311;153;89;C;660;145238;741016,69;6750689,49;0;164;89;C;971;156549;748638,36;6744537,2;0;I;2022;1;Permanent horaire;30892;17,762
01/01/2024;A0006;25163;164;89;C;971;156549;748638,36;6744537,2;0;190;89;C;134;181712;766330,88;6729217,07;0;I;2022;1;Permanent horaire;32091;17,628
01/01/2024;A0006;19338;190;89;C;134;181712;766330,88;6729217,07;0;209;89;C;472;201050;774828,71;6713046,86;0;I;2022;1;Permanent horaire;32558;17,544
01/01/2024;A0006;9728;209;89;C;472;201050;774828,71;6713046,86;0;219;89;C;200;210778;784048,85;6711347,62;0;I;2022;1;Permanent horaire;31912;16,173
01/01/2024;A0006;16163;219;89;C;200;210778;784048,85;6711347,62;0;235;21;C;363;226941;798490,61;6704703,74;0;I;2022;1;Permanent horaire;31912;16,173
01/01/2024;A0006;29044;235;21;C;363;226941;798490,61;6704703,74;0;264;21;C;407;255985;817712,87;6684659,23;0;I;2022;1;Permanent horaire;32574;16,155
01/01/2024;A0006;36650;264;21;C;407;255985;817712,87;6684659,23;0;301;21;C;57;292635;840572,13;6661598,51;0;I;2022;1;Permanent horaire;28270;17
01/01/2024;A0006;3543;301;21;C;57;292635;840572,13;6661598,51;0;304;21;C;600;296178;841966,48;6659251,85;0;I;2022;1;Permanent horaire;32373;15,619
01/01/2024;A0006;2180;304;21;C;600;296178;841966,48;6659251,85;0;306;21;C;780;298358;841293,19;6657251,1;0;I;2022;1;Permanent horaire;71158;23,244
01/01/2024;A0006;7720;306;21;C;780;298358;841293,19;6657251,1;0;314;21;C;500;306078;838773,19;6650263,84;0;I;2022;1;Permanent horaire;66855;24,421
01/01/2024;A0006;14470;314;21;C;500;306078;838773,19;6650263,84;0;328;71;C;970;320548;839205,33;6635412,21;0;I;2022;1;Permanent horaire;66855;24,421
01/01/2024;A0006;6160;328;71;C;970;320548;839205,33;6635412,21;0;335;71;C;130;326708;839822,43;6629499,03;0;I;2022;1;Permanent horaire;66352;26,498
01/01/2024;A0006;20290;335;71;C;130;326708;839822,43;6629499,03;0;355;71;C;420;346998;845445,98;6610692,85;0;I;2022;1;Permanent horaire;60183;21,954
01/01/2024;A0006;25480;355;71;C;420;346998;845445,98;6610692,85;0;380;71;C;900;372478;841149,66;6587096,08;0;I;2022;1;Permanent horaire;59571;22,029
01/01/2024;A0006;2155;380;71;C;900;372478;841149,66;6587096,08;0;383;71;C;55;374633;840479,12;6585064,21;0;I;2022;1;Permanent horaire;61439;23,319
01/01/2024;A0006;8176;383;71;C;55;374633;840479,12;6585064,21;0;391;71;C;231;382809;837753,77;6577702,92;0;I;2022;1;Permanent horaire;53635;24,47
01/01/2024;A0006;12639;391;71;C;231;382809;837753,77;6577702,92;0;403;71;C;870;395448;836527,04;6565502,16;0;I;2022;1;Permanent horaire;64127;23,176
01/01/2024;A0006;8630;403;71;C;870;395448;836527,04;6565502,16;0;412;69;C;500;404078;835244,46;6557169,17;0;I;2022;1;Permanent horaire;64127;23,176
01/01/2024;A0006;8950;412;69;C;500;404078;835244,46;6557169,17;0;421;69;C;450;413028;833435,42;6548521,56;0;I;2022;1;Permanent horaire;73872;20,023
01/01/2024;A0006;5090;421;69;C;450;413028;833435,42;6548521,56;0;426;69;C;540;418118;834396,66;6543592,59;0;I;2022;1;Permanent horaire;77318;19,286
01/01/2024;A0006;5560;426;69;C;540;418118;834396,66;6543592,59;0;432;69;C;100;423678;833874,61;6538685,58;0;I;2022;1;Permanent horaire;94928;16,714
01/01/2024;A0006;810;432;69;C;100;423678;833874,61;6538685,58;0;432;69;C;910;424488;833802,23;6537891,95;0;I;2022;1;Permanent horaire;46343;8,908
01/01/2024;A0006;4092;432;69;C;910;424488;833802,23;6537891,95;0;437;69;C;2;428580;834449,02;6533919,37;0;I;2022;1;Permanent horaire;46756;11,433
01/01/2024;A0006;6036;437;69;C;2;428580;834449,02;6533919,37;0;443;69;C;38;434616;836074,99;6528233,86;0;I;2022;1;Permanent horaire;58298;12,46
01/01/2024;A0006;1032;443;69;C;38;434616;836074,99;6528233,86;0;444;69;C;70;435648;836617,51;6527360,96;0;I;2022;1;Permanent horaire;68775;7,107
01/01/2024;A0006;1240;444;69;C;70;435648;836617,51;6527360,96;0;445;69;C;310;436888;836984,5;6526193,45;0;I;2022;1;Permanent horaire;68775;7,107
01/01/2024;A0007;10245;6;38;C;0;14142;843164,61;6487932,31;0;16;38;C;245;24387;841286,28;6478245,09;0;I;2024;1;Permanent horaire;76221;19,087
01/01/2024;A0007;7385;16;38;C;245;24387;841286,28;6478245,09;0;23;38;C;630;31772;841946,43;6471024,25;0;I;2024;1;Permanent horaire;77452;18,941
01/01/2024;A0007;2650;23;38;C;630;31772;841946,43;6471024,25;0;26;38;C;280;34422;842482,22;6468533,76;0;I;2024;1;Permanent horaire;70487;18,825
01/01/2024;A0007;28826;26;38;C;280;34422;842482,22;6468533,76;0;55;26;C;106;63248;847309,8;6442598,85;0;I;2024;1;Permanent horaire;70487;18,825
01/01/2024;A0007;10733;55;26;C;106;63248;847309,8;6442598,85;0;65;26;C;839;73981;848667,95;6432151,97;0;I;2024;1;Permanent horaire;69771;18,647
01/01/2024;A0007;7931;65;26;C;839;73981;848667,95;6432151,97;0;73;26;C;770;81912;848056,16;6424547,97;0;I;2024;1;Permanent horaire;65458;19,914
01/01/2024;A0007;18505;73;26;C;770;81912;848056,16;6424547,97;0;92;26;C;275;100417;841983,45;6408159,53;0;I;2024;1;Permanent horaire;86985;16,107
01/01/2024;A0007;9927;92;26;C;275;100417;841983,45;6408159,53;0;102;26;C;202;110344;842440,98;6398501,47;0;I;2024;1;Permanent horaire;83085;16,653
01/01/2024;A0007;22431;102;26;C;202;110344;842440,98;6398501,47;0;124;26;C;633;132775;840497,35;6377346,8;0;I;2024;1;Permanent horaire;77183;17,322
01/01/2024;A0007;17977;124;26;C;633;132775;840497,35;6377346,8;0;142;26;C;610;150752;838697,14;6360045,44;0;I;2024;1;Permanent horaire;76366;17,001
01/01/2024;A0007;3730;142;26;C;610;150752;838697,14;6360045,44;0;146;84;C;340;154482;839275,05;6356527,75;0;I;2024;1;Permanent horaire;76366;17,001
01/01/2024;A0007;16490;146;84;C;340;154482;839275,05;6356527,75;0;162;84;C;830;170972;841050,07;6342387,14;0;I;2024;1;Permanent horaire;78329;16,847
01/01/2024;A0007;3929;162;84;C;830;170972;841050,07;6342387,14;0;166;84;C;759;174901;842808,55;6338898,51;0;I;2024;1;Permanent horaire;87632;16,768
01/01/2024;A0007;639;166;84;C;759;174901;842808,55;6338898,51;0;167;84;C;398;175540;843244,29;6338427,63;0;I;2024;1;Permanent horaire;58802;13,736
